partition,problem,pool,composition_model,measurement_reason,mechanism_id,pairs,both_phase_nonempty_pairs,mean_delta_measures,mean_delta_direction,mean_delta_near,mean_delta_no_signal,mean_delta_whole_case_clear_attempts,mean_delta_whole_case_fallback_targets,mean_delta_direction_rate,mean_delta_near_rate,mean_delta_no_signal_rate
development,3,stress,stress_design,global_coverage,assumption__radius_mixed__noise_correlated__scale_150,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_mixed__noise_correlated__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_mixed__noise_correlated__scale_75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_mixed__noise_deterministic__scale_150,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_mixed__noise_deterministic__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_mixed__noise_deterministic__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_mixed__noise_extreme__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_mixed__noise_extreme__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,__design_mixture__,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_max__noise_correlated__scale_150,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_max__noise_correlated__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_max__noise_correlated__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_max__noise_deterministic__scale_150,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_max__noise_deterministic__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_max__noise_deterministic__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_max__noise_extreme__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_min__noise_correlated__scale_150,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_min__noise_correlated__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_min__noise_correlated__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_min__noise_deterministic__scale_150,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_min__noise_deterministic__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,local_active_sensing,assumption__radius_min__noise_deterministic__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
