case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
stage3-round-broad-p3-0028-40753bf7d3dab007,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,development,scan_then_clear,joint,True,True,670.0595560000002,667.0595603932934,0,-3,6,0,3335.2978019664697,0,2,2,-4.393293238535989e-06
stage3-round-broad-p3-0029-fe04e197ed4c7238,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,development,immediate,joint,True,True,1023.6518999999998,1037.651900485349,0,-17,3,0,5188.259502426747,0,1,1,-4.853491191170178e-07
stage3-round-broad-p3-0029-fe04e197ed4c7238,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,development,scan_then_clear,joint,True,True,-63.20111700000052,-29.201119723830743,0,-4,-30,0,-146.00559861915463,0,-10,-10,2.7238302209298126e-06
stage3-round-broad-p3-0031-0981374abfd5e624,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,development,immediate,joint,True,True,4070.400830999999,3996.4008393245126,0,-16,90,0,19982.00419662256,0,30,30,-8.324513601110084e-06
stage3-round-broad-p3-0031-0981374abfd5e624,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,development,scan_then_clear,joint,True,True,567.6127589999996,601.6127599224187,0,-4,-30,0,3008.063799612093,0,-10,-10,-9.224190762324724e-07
stage3-round-broad-p3-0032-f19126acac2b54c6,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_75,development,immediate,joint,True,True,3204.5590809999994,3209.559086931421,0,-20,15,0,16047.795434657106,0,5,5,-5.931421583227348e-06
stage3-round-broad-p3-0032-f19126acac2b54c6,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_75,development,scan_then_clear,joint,True,True,191.29811299999983,241.29811468740263,0,-5,-45,0,1206.490573437015,0,-15,-15,-1.6874028005986474e-06
stage3-round-broad-p3-0033-91cfb379cdf8e03d,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,development,immediate,joint,True,True,1583.5158700000002,1568.515873627391,0,-15,30,0,7842.579368136954,0,10,10,-3.6273909245210234e-06
stage3-round-broad-p3-0033-91cfb379cdf8e03d,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,development,scan_then_clear,joint,True,True,584.5318200000002,586.5318225160004,0,-5,3,0,2932.6591125800005,0,1,1,-2.516000222385628e-06
stage3-round-broad-p3-0034-dba605902c2c1a6b,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_75,development,immediate,joint,True,True,2043.9807359999995,2055.980742070763,-20,-25,33,0,10279.903710353818,-4,11,11,-6.070763447496574e-06
stage3-round-broad-p3-0034-dba605902c2c1a6b,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_75,development,scan_then_clear,joint,True,True,774.5685899999999,824.5685925541866,0,-5,-45,0,4122.842962770934,0,-15,-15,-2.554186721681617e-06
stage3-round-broad-p3-0035-929869c2e0d1de6c,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_75,development,immediate,joint,True,True,2210.2503260000003,2200.250332148479,0,-14,24,0,11001.251660742397,0,8,8,-6.148478860268369e-06
stage3-round-broad-p3-0035-929869c2e0d1de6c,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_75,development,scan_then_clear,joint,True,True,742.5472570000002,742.5472611551595,0,-3,3,0,3712.7363057757975,0,1,1,-4.1551593312760815e-06
