case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
round-calibrated-p4-0052-6ccf01d581ec2f0f,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,127.10087500000009,33.1008802353208,-170,0,264,0,165.50440117660764,-34,88,88,-5.2353207138367e-06
round-calibrated-p4-0055-efd62124b664092d,4,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-700.2145830000009,-585.2145785324592,-160,0,45,0,-2926.072892662298,-32,15,15,-4.467541657504626e-06
round-calibrated-p4-0056-0cb6723f1a8252c3,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-792.0532490000005,-608.0532483092175,-235,0,51,0,-3040.2662415460873,-47,17,17,-6.907830538693815e-07
round-calibrated-p4-0064-2b90382baca98c7e,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-517.8789249999991,-377.87892335351717,-155,0,15,0,-1889.3946167675822,-31,5,5,-1.646481905481778e-06
round-calibrated-p4-0065-022421af50a72c39,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-899.5496760000005,-689.5496664016264,-225,0,15,0,-3447.74833200813,-45,5,5,-9.59837416303344e-06
round-calibrated-p4-0076-765c1bd9b8a18a04,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-576.0909410000004,-483.09093866839794,-135,0,42,0,-2415.4546933419915,-27,14,14,-2.3316024453379214e-06
round-calibrated-p4-0081-f5b2e1d525b5d413,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-299.35123399999975,-220.3512338864748,-175,0,96,0,-1101.7561694323813,-35,32,32,-1.1352494766470045e-07
round-calibrated-p4-0084-6fe91617e4a47954,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-460.54406299999937,-412.54405548353134,-240,0,192,0,-2062.720277417655,-48,64,64,-7.516468031099066e-06
round-calibrated-p4-0086-7038552cdcad6517,4,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-501.51468399999976,-416.5146801035644,-115,0,30,0,-2082.5734005178238,-23,10,10,-3.896435373462737e-06
round-calibrated-p4-0095-afa1623911592018,4,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-640.0765800000008,-483.076577587055,-160,0,3,0,-2415.3828879352805,-32,1,1,-2.4129458324750885e-06
round-calibrated-p4-0097-e112922e00810438,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-646.0584269999999,-478.05842413582286,-210,0,42,0,-2390.2921206791143,-42,14,14,-2.8641770768444985e-06
round-calibrated-p4-0100-7634bbf52d5a23d7,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-458.14306699999906,-422.1430603522567,-255,0,219,0,-2110.7153017612873,-51,73,73,-6.647742338827811e-06
round-calibrated-p4-0101-94d43f272a517d36,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-957.0059259999998,-742.0059212352753,-245,0,30,0,-3710.029606176373,-49,10,10,-4.7647245082771406e-06
round-calibrated-p4-0110-41ecf3b98bcef0bb,4,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-525.6127710000001,-395.61276585467203,-175,0,45,0,-1978.0638292733638,-35,15,15,-5.145328032085672e-06
round-calibrated-p4-0117-dc6f1eac3c55a0c2,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-442.840021,-418.84001980247194,-195,0,171,0,-2094.2000990123634,-39,57,57,-1.1975280358456075e-06
round-calibrated-p4-0123-8746560722698096,4,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-570.374029999999,-478.37402814628877,-110,0,18,0,-2391.870140731444,-22,6,6,-1.8537102732807398e-06
round-calibrated-p4-0127-162e5035b7fff671,4,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-913.7498750000013,-834.7498723307308,-190,0,111,0,-4173.749361653659,-38,37,37,-2.6692705432651564e-06
round-calibrated-p4-0129-1dbdf9ac6cac117f,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-406.4914740000004,-405.4914640377192,-280,0,279,0,-2027.4573201885942,-56,93,93,-9.962281183106825e-06
round-calibrated-p4-0140-cc1317ddee0fe1ef,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-54.01489699999911,-70.01489348081759,-140,0,156,0,-350.0744674040907,-28,52,52,-3.519181518640835e-06
round-calibrated-p4-0156-0494aaac2d839d71,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-785.7589100000005,-626.7589078715637,-180,0,21,0,-3133.7945393578193,-36,7,7,-2.1284367903717794e-06
round-calibrated-p4-0162-d17d71deeb2b1138,4,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-270.9432830000005,-208.9432807037374,-95,0,33,0,-1044.716403518687,-19,11,11,-2.2962631192058325e-06
round-calibrated-p4-0164-fc23fafa4773d343,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-995.8900110000013,-828.8900040366952,-185,0,18,0,-4144.450020183482,-37,6,6,-6.963306077523157e-06
round-calibrated-p4-0165-ec0cd875d6e50a61,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-883.3970770000014,-768.3970695733042,-265,0,150,0,-3841.9853478665245,-53,50,50,-7.426697266055271e-06
round-calibrated-p4-0166-a5b4ed855b3d504f,4,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-839.1351060000015,-658.1351027613364,-235,0,54,0,-3290.67551380668,-47,18,18,-3.238665158278309e-06
round-calibrated-p4-0171-f06b5bdf77dcbe04,4,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-269.0446379999994,-213.04463869324536,-110,0,54,0,-1065.2231934662268,-22,18,18,6.932459655217826e-07
round-calibrated-p4-0182-1dc4e1178ca4a7cf,4,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-6.073621999999887,-93.07361922258315,-165,0,252,0,-465.3680961129139,-33,84,84,-2.777416739263572e-06
round-calibrated-p4-0187-11f6d43e7bcd10f9,4,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-241.08328699999947,-206.08328794269892,-95,0,60,0,-1030.4164397134955,-19,20,20,9.426994438399561e-07
