case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s,walk_distance_m_delta,measures_delta,failed_clear_attempts_delta,failed_clear_cost_s_delta,fallback_targets_delta,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,post_clear_stop_tail_s_delta
p4-refinement-development-round-broad-p4-0015-6f3287cf8f197c49,4,broad,broad_joint,development,deterministic,coverage,assumption__radius_mixed__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1856.9311989999997,-1856.9311989999997,19.073638275165766,9735.589887,7878.658688,-7534.655995836747,-60,1,3.0,0,-1506.9311991673494,-300.0,-53.0,3.0,0.0,117.01409299999978
p4-refinement-development-round-broad-p4-0015-6f3287cf8f197c49,4,broad,broad_joint,development,deterministic,local_cover,assumption__radius_mixed__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-67.83204300000034,-67.83204300000034,0.6967430200667853,9735.589887,9667.757844,-219.16021447435196,0,-8,-24.0,0,-43.83204289487003,0.0,0.0,-24.0,0.0,0.0
p4-refinement-development-round-broad-p4-0016-898dac969689f0a4,4,broad,broad_joint,development,correlated,combined_cover,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,64.2620879999995,64.2620879999995,-0.5797290104214149,11084.849446,11149.111534,-923.6895815065072,-43,168,504.0,-1,-184.73791630130108,-215.0,-40.0,504.0,0.0,0.0
p4-refinement-development-round-broad-p4-0016-898dac969689f0a4,4,broad,broad_joint,development,correlated,coverage,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-854.3557340000007,-854.3557340000007,7.707418473854847,11084.849446,10230.493712,-3551.7786892527874,-43,37,111.0,-1,-710.3557378505575,-215.0,-40.0,111.0,0.0,0.0
p4-refinement-development-round-broad-p4-0016-898dac969689f0a4,4,broad,broad_joint,development,correlated,local_cover,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,493.089469999999,493.089469999999,-4.448319053877017,11084.849446,11577.938916,1445.4473497072686,0,68,204.0,0,289.089469941453,0.0,0.0,204.0,0.0,0.0
p4-refinement-development-round-broad-p4-0017-90e952bb17ff75b3,4,broad,broad_joint,development,extreme,combined_cover,assumption__radius_mixed__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2838.029490000001,-2838.029490000001,22.385782326229812,12677.821345,9839.791855,-10345.147461334505,-62,-134,-402.0,-1,-2069.0294922669,-310.0,-57.0,-402.0,0.0,-222.20290600000044
p4-refinement-development-round-broad-p4-0017-90e952bb17ff75b3,4,broad,broad_joint,development,extreme,coverage,assumption__radius_mixed__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-3121.0235709999997,-3121.0235709999997,24.617980377447886,12677.821345,9556.797774,-11130.11785766061,-62,-176,-528.0,-1,-2226.0235715321214,-310.0,-57.0,-528.0,0.0,-221.90242399999988
p4-refinement-development-round-broad-p4-0017-90e952bb17ff75b3,4,broad,broad_joint,development,extreme,local_cover,assumption__radius_mixed__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1535.7661210000006,-1535.7661210000006,12.11380156895562,12677.821345,11142.055224,-5548.830588203171,0,-142,-426.0,0,-1109.7661176406327,0.0,0.0,-426.0,0.0,2.0422859999998764
p4-refinement-development-round-broad-p4-0018-67ad7d1b23db08e8,4,broad,broad_joint,development,deterministic,combined_cover,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1790.0278670000007,-1790.0278670000007,17.07251836159965,10484.849564,8694.821697,-8620.139326630597,-9,-6,-18.0,0,-1724.0278653261194,-45.0,-3.0,-18.0,0.0,0.0
p4-refinement-development-round-broad-p4-0018-67ad7d1b23db08e8,4,broad,broad_joint,development,deterministic,coverage,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1634.1911770000006,-1634.1911770000006,15.58621482382578,10484.849564,8850.658387,-8080.955884912648,-9,10,30.0,0,-1616.1911769825301,-45.0,-3.0,30.0,0.0,0.0
p4-refinement-development-round-broad-p4-0018-67ad7d1b23db08e8,4,broad,broad_joint,development,deterministic,local_cover,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-109.55234100000052,-109.55234100000052,1.04486326037668,10484.849564,10375.297223,-352.7616839574839,0,-13,-39.0,0,-70.55233679149751,0.0,0.0,-39.0,0.0,0.0
p4-refinement-development-round-broad-p4-0019-79860aeb13388544,4,broad,broad_joint,development,correlated,combined_cover,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,current,True,0,-2077.020928,-2077.020928,20.495398702257216,10134.084036,8057.063108,-9170.10463864501,-25,-33,-99.0,-1,-1834.0209277290023,-125.0,-19.0,-99.0,0.0,1001.406602
p4-refinement-development-round-broad-p4-0019-79860aeb13388544,4,broad,broad_joint,development,correlated,coverage,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1845.0750549999993,-1845.0750549999993,18.206628723874925,10134.084036,8289.008981,-8430.375266492825,-25,-5,-15.0,-1,-1686.0750532985658,-125.0,-19.0,-15.0,0.0,1001.4066020000009
p4-refinement-development-round-broad-p4-0019-79860aeb13388544,4,broad,broad_joint,development,correlated,local_cover,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,current,True,0,-211.53189100000054,-211.53189100000054,2.087331131738807,10134.084036,9922.552145,-682.6594419086323,0,-25,-75.0,0,-136.53188838172719,0.0,0.0,-75.0,0.0,0.0
p4-refinement-development-round-broad-p4-0020-dc3379467556eed5,4,broad,broad_joint,development,extreme,combined_cover,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1929.5631219999996,-1929.5631219999996,17.705325477378846,10898.207573,8968.644451,-8432.81560725849,-43,3,9.0,-3,-1686.563121451697,-215.0,-37.0,9.0,0.0,0.0
p4-refinement-development-round-broad-p4-0020-dc3379467556eed5,4,broad,broad_joint,development,extreme,coverage,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1545.054129,-1545.054129,14.17713985213337,10898.207573,9353.153444,-6990.2706567955975,-43,35,105.0,-3,-1398.0541313591184,-215.0,-37.0,105.0,0.0,0.0
p4-refinement-development-round-broad-p4-0020-dc3379467556eed5,4,broad,broad_joint,development,extreme,local_cover,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,True,True,current,True,0,488.9898009999997,488.9898009999997,-4.486882799071088,10898.207573,11387.197374,1424.9489934334706,0,68,204.0,0,284.9897986866945,0.0,0.0,204.0,0.0,0.0
p4-refinement-development-round-broad-p4-0021-ca0d19d12f13e9c4,4,broad,broad_joint,development,deterministic,combined_cover,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-3769.7455310000005,-3769.7455310000005,32.4153036811774,11629.52403,7859.778499,-17218.727655824903,-27,-58,-174.0,3,-3443.74553116498,-135.0,-17.0,-174.0,0.0,0.0
p4-refinement-development-round-broad-p4-0021-ca0d19d12f13e9c4,4,broad,broad_joint,development,deterministic,coverage,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-3510.8783470000008,-3510.8783470000008,30.189355453784643,11629.52403,8118.645683,-16329.391743256376,-27,-31,-93.0,3,-3265.878348651275,-135.0,-17.0,-93.0,0.0,0.0
p4-refinement-development-round-broad-p4-0021-ca0d19d12f13e9c4,4,broad,broad_joint,development,deterministic,local_cover,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-496.194109,-496.194109,4.266675985362747,11629.52403,11133.329921,-1550.9705288272671,0,-62,-186.0,0,-310.19410576545306,0.0,0.0,-186.0,0.0,0.0
p4-refinement-development-round-broad-p4-0022-dc5091e9a1f7dc97,4,broad,broad_joint,development,correlated,combined_cover,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,True,True,current,True,0,-2326.606056999999,-2326.606056999999,20.167965532868458,11536.146535,9209.540478,-10148.030295135388,-71,41,123.0,1,-2029.6060590270772,-355.0,-65.0,123.0,0.0,1096.0818820000004
