case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s,walk_distance_m_delta,measures_delta,failed_clear_attempts_delta,failed_clear_cost_s_delta,fallback_targets_delta,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,post_clear_stop_tail_s_delta
p4-refinement-confirmation-round-broad-p4-0123-f9aadb57e2729459,4,broad,broad_joint,confirmation,deterministic,combined_cover,assumption__radius_mixed__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1540.5260089999992,-1540.5260089999992,13.193260517570746,11676.613275,10136.087266,-6382.630036233582,-25,-40,-120.0,-1,-1276.5260072467172,-125.0,-19.0,-120.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0123-f9aadb57e2729459,4,broad,broad_joint,confirmation,deterministic,coverage,assumption__radius_mixed__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1395.0936669999992,-1395.0936669999992,11.947759458531861,11676.613275,10281.519608,-5760.468335359612,-25,-33,-99.0,-1,-1152.093667071923,-125.0,-19.0,-99.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0124-479b908a8276a244,4,broad,broad_joint,confirmation,correlated,combined_cover,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1340.6649159999997,-1340.6649159999997,11.775472033758348,11385.232899,10044.567983,-4873.3245910244805,-67,11,33.0,-1,-974.664918204895,-335.0,-64.0,33.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0124-479b908a8276a244,4,broad,broad_joint,confirmation,correlated,coverage,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1494.046088000001,-1494.046088000001,13.122666011788196,11385.232899,9891.186811,-5400.230435475736,-67,-5,-15.0,-1,-1080.0460870951465,-335.0,-64.0,-15.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0125-df7433fd6c57179b,4,broad,broad_joint,confirmation,extreme,combined_cover,assumption__radius_mixed__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2184.612118000001,-2184.612118000001,20.070014932684455,10884.95512,8700.343002,-9073.060594822906,-71,16,48.0,-1,-1814.612118964581,-355.0,-63.0,48.0,0.0,355.7866959999992
p4-refinement-confirmation-round-broad-p4-0125-df7433fd6c57179b,4,broad,broad_joint,confirmation,extreme,coverage,assumption__radius_mixed__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2172.2073419999997,-2172.2073419999997,19.956052349805184,10884.95512,8712.747778,-9026.036721517477,-71,17,51.0,-1,-1805.2073443034951,-355.0,-63.0,51.0,0.0,356.1294140000009
p4-refinement-confirmation-round-broad-p4-0126-446dabff27067716,4,broad,broad_joint,confirmation,deterministic,combined_cover,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-2121.1198320000003,-2121.1198320000003,21.03088584348694,10085.736986,7964.617154,-9510.599149327445,-21,-33,-99.0,-3,-1902.119829865489,-105.0,-15.0,-99.0,0.0,-44.806343999999626
p4-refinement-confirmation-round-broad-p4-0126-446dabff27067716,4,broad,broad_joint,confirmation,deterministic,coverage,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1983.0247920000002,-1983.0247920000002,19.661674647600215,10085.736986,8102.712194,-9075.123950693152,-21,-16,-48.0,-3,-1815.0247901386301,-105.0,-15.0,-48.0,0.0,-44.806343999999626
p4-refinement-confirmation-round-broad-p4-0127-7e13f27bb541cd4c,4,broad,broad_joint,confirmation,correlated,combined_cover,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1767.3832789999997,-1767.3832789999997,16.196802839328267,10911.926857,9144.543578,-6556.916394163316,-63,-28,-84.0,0,-1311.3832788326636,-315.0,-57.0,-84.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0127-7e13f27bb541cd4c,4,broad,broad_joint,confirmation,correlated,coverage,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1593.612731000001,-1593.612731000001,14.604320134144764,10911.926857,9318.314126,-6003.063668787559,-63,-7,-21.0,0,-1200.6127337575117,-315.0,-57.0,-21.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0128-0b6040b5823d6f39,4,broad,broad_joint,confirmation,extreme,combined_cover,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,True,True,current,True,0,-896.8032120000007,-896.8032120000007,9.280924511918945,9662.865061,8766.061849,-3184.0160778868303,-45,2,6.0,-3,-636.8032155773662,-225.0,-41.0,6.0,0.0,-997.5235470000007
p4-refinement-confirmation-round-broad-p4-0128-0b6040b5823d6f39,4,broad,broad_joint,confirmation,extreme,coverage,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,True,True,current,True,0,-739.4964230000005,-739.4964230000005,7.65297267768604,9662.865061,8923.368638,-2412.482133113721,-45,3,9.0,-3,-482.49642662274437,-225.0,-41.0,9.0,0.0,-997.5235470000007
p4-refinement-confirmation-round-broad-p4-0129-713869c0ccc5aba5,4,broad,broad_joint,confirmation,deterministic,combined_cover,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-2367.7331780000004,-2367.7331780000004,21.552652671120615,10985.808634,8618.075456,-9353.665891220706,-48,-72,-216.0,-1,-1870.7331782441415,-240.0,-41.0,-216.0,0.0,-2351.496080000001
p4-refinement-confirmation-round-broad-p4-0129-713869c0ccc5aba5,4,broad,broad_joint,confirmation,deterministic,coverage,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-2221.615294000001,-2221.615294000001,20.222592328108824,10985.808634,8764.19334,-8863.076464565238,-48,-56,-168.0,-1,-1772.6152929130476,-240.0,-41.0,-168.0,0.0,-2346.973721000001
p4-refinement-confirmation-round-broad-p4-0130-555c5ee17aa69e2c,4,broad,broad_joint,confirmation,correlated,combined_cover,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,True,True,current,True,0,-406.07426400000077,-406.07426400000077,3.9480186415858447,10285.520431,9879.446167,439.6286734290188,-93,19,57.0,3,87.92573468580304,-465.0,-86.0,57.0,0.0,0.0
