pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,4,broad_joint,all,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,all,coverage,current,12,0,0,0.0,-1541.6309890833327,-1844.6107644479166,-1235.4826836624993,12,-1541.6309890833327,-1550.0272264999994,0.0,-325.9507199999989,14.258914433728243,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1850.3139121624993,-1222.8796011562497
broad,4,broad_joint,all,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,deterministic,combined_cover,current,12,0,0,0.0,-1474.3060368333329,-1792.645668441666,-1142.78533681875,12,-1474.3060368333329,-1583.9004164999997,0.0,-349.1281259999996,13.661981875134444,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1774.3805452916665,-1150.2459907833334
broad,4,broad_joint,all,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,deterministic,coverage,current,12,0,0,0.0,-1541.6309890833327,-1833.631171291666,-1205.309114779166,12,-1541.6309890833327,-1550.0272264999994,0.0,-325.9507199999989,14.258914433728243,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1852.4093724687496,-1214.1636351354161
broad,4,broad_joint,confirmation,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,all,combined_cover,current,12,0,0,0.0,-1474.3060368333329,-1784.1081604104158,-1149.1782424624998,12,-1474.3060368333329,-1583.9004164999997,0.0,-349.1281259999996,13.661981875134444,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1786.2098716104156,-1148.2286070458335
broad,4,broad_joint,confirmation,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,all,coverage,current,12,0,0,0.0,-1541.6309890833327,-1863.14716655625,-1207.8708790020828,12,-1541.6309890833327,-1550.0272264999994,0.0,-325.9507199999989,14.258914433728243,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1836.0949709999995,-1218.558427918749
broad,4,broad_joint,confirmation,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,deterministic,combined_cover,current,12,0,0,0.0,-1474.3060368333329,-1794.7095023208326,-1145.7624096791667,12,-1474.3060368333329,-1583.9004164999997,0.0,-349.1281259999996,13.661981875134444,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1773.280491085416,-1142.90890810625
broad,4,broad_joint,confirmation,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,deterministic,coverage,current,12,0,0,0.0,-1541.6309890833327,-1845.5645912770829,-1224.7821573583333,12,-1541.6309890833327,-1550.0272264999994,0.0,-325.9507199999989,14.258914433728243,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1846.054953770833,-1221.4695903249997
broad,4,broad_joint,all,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,all,combined_cover,current,12,0,0,0.0,-2391.5028775,-2849.865730514583,-1985.9975153770843,12,-2391.5028775,-2259.6065340000005,0.0,-1162.3282230000004,21.204998575164478,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2858.7611300145822,-1978.9733512333337
broad,4,broad_joint,all,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,all,coverage,current,12,0,0,0.0,-2172.1977477500004,-2615.0600847416667,-1838.4864594729177,12,-2172.1977477500004,-2097.0819690000008,0.0,-1163.1190650000008,19.312185737807777,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2616.8171313875005,-1834.9663796479176
broad,4,broad_joint,all,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,deterministic,combined_cover,current,12,0,0,0.0,-2391.5028775,-2827.0888343854162,-2006.9039074604173,12,-2391.5028775,-2259.6065340000005,0.0,-1162.3282230000004,21.204998575164478,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2837.0973484729166,-2000.0208475541672
