case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s
round-calibrated-p4-0031-5e06ef1d745429bf,4,calibrated,broad_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-924.9520130000001,-924.9520130000001,7.2190928384225055,12812.579554,11887.627541
round-calibrated-p4-0032-0193931ba80f010c,4,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-540.227132,-540.227132,5.184484666727654,10420.073869,9879.846737
round-calibrated-p4-0036-4e033a6e0367656d,4,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-456.30730399999993,-456.30730399999993,4.283276228018593,10653.230838,10196.923534
round-calibrated-p4-0045-c91629092c69392f,4,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-652.7489150000001,-652.7489150000001,4.985814146674073,13092.122887,12439.373972
round-calibrated-p4-0052-6ccf01d581ec2f0f,4,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,127.10087500000009,127.10087500000009,-1.197904202779943,10610.270396,10737.371271
round-calibrated-p4-0055-efd62124b664092d,4,calibrated,broad_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-700.2145830000009,-700.2145830000009,6.567607326758053,10661.638983,9961.4244
round-calibrated-p4-0056-0cb6723f1a8252c3,4,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-792.0532490000005,-792.0532490000005,6.339316013648851,12494.301393,11702.248144
round-calibrated-p4-0064-2b90382baca98c7e,4,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-517.8789249999991,-517.8789249999991,5.008318904792233,10340.374382,9822.495457
round-calibrated-p4-0065-022421af50a72c39,4,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-899.5496760000005,-899.5496760000005,6.664340292593241,13497.955334,12598.405658
round-calibrated-p4-0076-765c1bd9b8a18a04,4,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-576.0909410000004,-576.0909410000004,5.263694823711345,10944.611348,10368.520407
round-calibrated-p4-0081-f5b2e1d525b5d413,4,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-299.35123399999975,-299.35123399999975,2.5625895663949825,11681.591072,11382.239838
round-calibrated-p4-0084-6fe91617e4a47954,4,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-460.54406299999937,-460.54406299999937,3.7245588073357863,12365.063537,11904.519474
round-calibrated-p4-0086-7038552cdcad6517,4,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-501.51468399999976,-501.51468399999976,4.6442804401793625,10798.54437,10297.029686
round-calibrated-p4-0095-afa1623911592018,4,calibrated,broad_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-640.0765800000008,-640.0765800000008,5.752416536208174,11127.090258,10487.013678
round-calibrated-p4-0097-e112922e00810438,4,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-646.0584269999999,-646.0584269999999,6.525189514953489,9900.991006,9254.932579
