pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,3,broad_joint,confirmation,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-108.5805734999999,-149.84253999999964,-67.31860700000016,2,-108.5805734999999,-108.5805734999999,0.0,-67.31860700000016,2.156744160242971,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-149.84253999999964,-67.31860700000016
broad,3,broad_joint,confirmation,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,extreme,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-108.5805734999999,-149.84253999999964,-67.31860700000016,2,-108.5805734999999,-108.5805734999999,0.0,-67.31860700000016,2.156744160242971,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-149.84253999999964,-67.31860700000016
broad,3,broad_joint,all,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-543.6622794999998,-604.6392420000002,-482.6853169999995,2,-543.6622794999998,-543.6622794999998,0.0,-482.6853169999995,10.88846089829341,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-604.6392420000002,-482.6853169999995
broad,3,broad_joint,all,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-543.6622794999998,-604.6392420000002,-482.6853169999995,2,-543.6622794999998,-543.6622794999998,0.0,-482.6853169999995,10.88846089829341,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-604.6392420000002,-482.6853169999995
broad,3,broad_joint,confirmation,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-543.6622794999998,-604.6392420000002,-482.6853169999995,2,-543.6622794999998,-543.6622794999998,0.0,-482.6853169999995,10.88846089829341,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-604.6392420000002,-482.6853169999995
broad,3,broad_joint,confirmation,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-543.6622794999998,-604.6392420000002,-482.6853169999995,2,-543.6622794999998,-543.6622794999998,0.0,-482.6853169999995,10.88846089829341,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-604.6392420000002,-482.6853169999995
broad,3,broad_joint,all,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,3,0,0,0.0,-247.03628966666656,-386.7886179999996,-51.03538200000003,3,-247.03628966666656,-303.28486900000007,0.0,-51.03538200000003,4.995921600011206,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-386.7886179999996,-51.03538200000003
broad,3,broad_joint,all,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,deterministic,joint_triangular_l1,joint_triangular_l5,3,0,0,0.0,-247.03628966666656,-386.7886179999996,-51.03538200000003,3,-247.03628966666656,-303.28486900000007,0.0,-51.03538200000003,4.995921600011206,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-386.7886179999996,-51.03538200000003
broad,3,broad_joint,confirmation,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,3,0,0,0.0,-247.03628966666656,-386.7886179999996,-51.03538200000003,3,-247.03628966666656,-303.28486900000007,0.0,-51.03538200000003,4.995921600011206,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-386.7886179999996,-51.03538200000003
broad,3,broad_joint,confirmation,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,deterministic,joint_triangular_l1,joint_triangular_l5,3,0,0,0.0,-247.03628966666656,-386.7886179999996,-51.03538200000003,3,-247.03628966666656,-303.28486900000007,0.0,-51.03538200000003,4.995921600011206,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-386.7886179999996,-51.03538200000003
broad,3,broad_joint,all,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-265.32354099999975,-310.7270719999997,-219.92000999999982,2,-265.32354099999975,-265.32354099999975,0.0,-219.92000999999982,5.578691820151253,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-310.7270719999997,-219.92000999999982
broad,3,broad_joint,all,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,deterministic,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-265.32354099999975,-310.7270719999997,-219.92000999999982,2,-265.32354099999975,-265.32354099999975,0.0,-219.92000999999982,5.578691820151253,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-310.7270719999997,-219.92000999999982
broad,3,broad_joint,confirmation,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-265.32354099999975,-310.7270719999997,-219.92000999999982,2,-265.32354099999975,-265.32354099999975,0.0,-219.92000999999982,5.578691820151253,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-310.7270719999997,-219.92000999999982
broad,3,broad_joint,confirmation,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,deterministic,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-265.32354099999975,-310.7270719999997,-219.92000999999982,2,-265.32354099999975,-265.32354099999975,0.0,-219.92000999999982,5.578691820151253,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-310.7270719999997,-219.92000999999982
broad,3,broad_joint,all,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,4,0,0,0.0,-144.04509025000016,-209.77390950000017,-47.75258999999983,4,-144.04509025000016,-182.27821500000027,0.25,4.228382000000238,3.00890751946802,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-209.77390950000017,-47.75258999999983
broad,3,broad_joint,all,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,extreme,joint_triangular_l1,joint_triangular_l5,4,0,0,0.0,-144.04509025000016,-209.77390950000017,-47.75258999999983,4,-144.04509025000016,-182.27821500000027,0.25,4.228382000000238,3.00890751946802,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-209.77390950000017,-37.04394449999995
broad,3,broad_joint,confirmation,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,4,0,0,0.0,-144.04509025000016,-209.77390950000017,-47.75258999999983,4,-144.04509025000016,-182.27821500000027,0.25,4.228382000000238,3.00890751946802,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-209.77390950000017,-47.75258999999983
broad,3,broad_joint,confirmation,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,extreme,joint_triangular_l1,joint_triangular_l5,4,0,0,0.0,-144.04509025000016,-209.77390950000017,-47.75258999999983,4,-144.04509025000016,-182.27821500000027,0.25,4.228382000000238,3.00890751946802,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-209.77390950000017,-47.75258999999983
broad,3,broad_joint,all,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-361.99771899999996,,,1,-361.99771899999996,-361.99771899999996,0.0,-361.99771899999996,7.781586318632249,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,3,broad_joint,all,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,extreme,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-361.99771899999996,,,1,-361.99771899999996,-361.99771899999996,0.0,-361.99771899999996,7.781586318632249,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,3,broad_joint,confirmation,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-361.99771899999996,,,1,-361.99771899999996,-361.99771899999996,0.0,-361.99771899999996,7.781586318632249,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,3,broad_joint,confirmation,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,extreme,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-361.99771899999996,,,1,-361.99771899999996,-361.99771899999996,0.0,-361.99771899999996,7.781586318632249,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,3,broad_joint,all,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,3,0,0,0.0,-250.76523266666663,-276.28926500000034,-215.81071100000008,3,-250.76523266666663,-260.1957219999995,0.0,-215.81071100000008,5.0864798052874525,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-276.28926500000034,-215.81071100000008
broad,3,broad_joint,all,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,extreme,joint_triangular_l1,joint_triangular_l5,3,0,0,0.0,-250.76523266666663,-276.28926500000034,-215.81071100000008,3,-250.76523266666663,-260.1957219999995,0.0,-215.81071100000008,5.0864798052874525,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-276.28926500000034,-215.81071100000008
broad,3,broad_joint,confirmation,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,3,0,0,0.0,-250.76523266666663,-276.28926500000034,-215.81071100000008,3,-250.76523266666663,-260.1957219999995,0.0,-215.81071100000008,5.0864798052874525,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-276.28926500000034,-215.81071100000008
broad,3,broad_joint,confirmation,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,extreme,joint_triangular_l1,joint_triangular_l5,3,0,0,0.0,-250.76523266666663,-276.28926500000034,-215.81071100000008,3,-250.76523266666663,-260.1957219999995,0.0,-215.81071100000008,5.0864798052874525,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-276.28926500000034,-215.81071100000008
broad,3,broad_joint,all,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-521.2896140000003,,,1,-521.2896140000003,-521.2896140000003,0.0,-521.2896140000003,8.58534172580202,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,3,broad_joint,all,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-521.2896140000003,,,1,-521.2896140000003,-521.2896140000003,0.0,-521.2896140000003,8.58534172580202,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,3,broad_joint,confirmation,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-521.2896140000003,,,1,-521.2896140000003,-521.2896140000003,0.0,-521.2896140000003,8.58534172580202,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,3,broad_joint,confirmation,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-521.2896140000003,,,1,-521.2896140000003,-521.2896140000003,0.0,-521.2896140000003,8.58534172580202,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,3,broad_joint,all,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-565.6349485000001,-741.1928980000002,-390.0769989999999,2,-565.6349485000001,-565.6349485000001,0.0,-390.0769989999999,11.953395913853106,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-741.1928980000002,-390.0769989999999
broad,3,broad_joint,all,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-565.6349485000001,-741.1928980000002,-390.0769989999999,2,-565.6349485000001,-565.6349485000001,0.0,-390.0769989999999,11.953395913853106,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-741.1928980000002,-390.0769989999999
broad,3,broad_joint,confirmation,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-565.6349485000001,-741.1928980000002,-390.0769989999999,2,-565.6349485000001,-565.6349485000001,0.0,-390.0769989999999,11.953395913853106,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-741.1928980000002,-390.0769989999999
