case_id,mode,source_distance_m,true_angle_deg,first_error_deg,first_report_deg,second_error_deg,receiver_radius_m,q_x,q_y,second_response,safety_certificate,movement_m,movement_and_second_measure_s,crossing_acute_angle_deg,posterior_diameter_m,posterior_mec_radius_m,direction_outcome_bound_m,mec_center_error_m,certified_clear_after_two,extra_clear_movement_m
d100_a90_e1,fixed,100.0,90.0,1.0,91.0,0.75,1000.0,-412.15576256865495,692.9124240345604,direction,Q_safe,806.2257748298549,166.24515496597098,34.804619069438594,49.866083803673845,24.93304190183897,111.66725586938725,19.186035922215673,False,
d100_a90_e1,estimated,100.0,90.0,1.0,91.0,0.75,1000.0,140.81998142702287,721.6858947833309,direction,Q_safe,735.2964013908432,152.05928027816864,12.762871971233526,112.50343345812013,56.25171672906167,175.58841794433752,43.748283781360506,False,
d100_a90_e1,active,100.0,90.0,1.0,91.0,0.75,1000.0,-231.51038382416934,371.016094235258,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,40.504983694352184,23.74173196168595,11.870865980844702,241.71886404388107,9.405418056701379,True,338.3585521281401
d100_a179.995_e-1,fixed,100.0,179.995,-1.0,179.0,0.75,1000.0,-692.9124240345604,412.15576256865495,direction,Q_safe,806.2257748298549,166.24515496597098,34.79905049005693,51.85521114681576,25.927605573409462,111.66725586938702,14.943386570891066,False,
d100_a179.995_e-1,estimated,100.0,179.995,-1.0,179.0,0.75,1000.0,-562.5016391312076,243.4848074846014,direction,Q_safe,612.9379621961009,127.58759243922017,27.758794913184886,49.02828677264505,24.51414338632413,181.82498431467357,12.339973094158996,False,
d100_a179.995_e-1,active,100.0,179.995,-1.0,179.0,0.75,1000.0,-371.016094235258,231.5103838241693,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,40.49891703802813,24.50795188293976,12.253975941471406,241.71886404387993,5.701870259495247,True,349.9238707755868
d100_a179.995_e0,fixed,100.0,179.995,0.0,180.0,0.75,1000.0,-700.0,-399.9999999999999,direction,Q_safe,806.2257748298549,166.24515496597098,33.695644428401074,50.005601549743474,25.00280077487376,111.9109258175563,16.658792232525215,False,
d100_a179.995_e0,estimated,100.0,179.995,0.0,180.0,0.75,1000.0,-562.6731350537568,225.06925402181702,direction,Q_safe,606.017512962423,126.2035025924846,25.934922126252278,49.944686525608205,24.972343262805655,184.7424539512601,15.871823735537536,False,
d100_a179.995_e0,active,100.0,179.995,0.0,180.0,0.75,1000.0,-375.0,-224.99999999999994,direction,convex_hull_first_station_and_Q_safe,437.3213921133975,92.4642784226795,39.2954959155903,23.845129356744,11.922564678373698,241.9103211568415,7.2055224711785275,True,339.91923175542433
d100_a179.995_e1,fixed,100.0,179.995,1.0,181.0,0.75,1000.0,-706.8743491843873,387.722393556458,direction,Q_safe,806.2257748298549,166.24515496597098,32.56827860344405,52.17754633675785,26.08877316838044,112.2035724022494,20.253684533652695,False,
d100_a179.995_e1,estimated,100.0,179.995,1.0,181.0,0.75,1000.0,-537.7565113054457,187.75997523602894,direction,Q_safe,569.5927262106128,118.91854524212256,23.209214635899887,50.18688655489893,25.09344327745097,210.45160034329416,19.858942236504017,False,
d100_a179.995_e1,active,100.0,179.995,1.0,181.0,0.75,1000.0,-371.0160942352579,-231.5103838241694,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,40.51105023724351,23.73683857951607,11.868419289759762,241.7188640438797,9.499345773755918,True,338.28469144861094
d100_a359.995_e-1,fixed,100.0,359.995,-1.0,359.0,0.75,1000.0,706.8743491843873,387.72239355645803,direction,Q_safe,806.2257748298549,166.24515496597098,32.57944876337841,50.15890731878136,25.079453659392666,112.20357240224872,14.101227514237191,False,
d100_a359.995_e-1,estimated,100.0,359.995,-1.0,359.0,0.75,1000.0,721.6858947833327,140.81998142704794,direction,Q_safe,735.2964013908498,152.05928027816998,12.768636974597525,102.94312482177718,51.47156241089113,175.58841794431993,26.40507712206463,False,
